test_id,case_name,case_description,test_type,priority,labels,labels,labels,step_number,step_action,expected_result
TC-021,Toolshop - Product Discovery - Filters - Multiple category filters combine results,Verify that checking several categories shows products from all of them.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,Category filters are displayed.
,,,,,,,,2,"Check two categories (e.g. ""Hammer"" and ""Saw"").",The grid shows products belonging to either of the selected categories.
TC-022,Toolshop - Product Discovery - Filters - Brand filter shows only that brand's products,Verify that the brand filter limits the grid to the selected brand.,Manual,High,Regression,UI,Positive,1,Navigate to the home page.,Brand filter checkboxes are displayed.
,,,,,,,,2,"Check a brand (e.g. ""ForgeFlex Tools"").",The grid updates to show only products of the selected brand.
,,,,,,,,3,Open one of the listed products.,The product detail page shows the selected brand chip next to the category chip.
TC-023,Toolshop - Product Discovery - Filters - Price range slider limits results,Verify that narrowing the price slider keeps only products priced within the range.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,The price range slider (1-200) is displayed.
,,,,,,,,2,Narrow the range (e.g. set the maximum to 15).,The grid updates and every displayed product price is within the selected range.
TC-024,Toolshop - Product Discovery - Filters - Eco-friendly filter shows only sustainable products,Verify that the eco-friendly checkbox limits the grid to eco-friendly products.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,"The ""Show only eco-friendly products"" checkbox is displayed under Sustainability."
,,,,,,,,2,Check the eco-friendly filter.,The grid updates to show only eco-friendly products with favorable CO2 badges.
TC-025,Toolshop - Product Discovery - Sorting - Price low to high orders the grid by ascending price,Verify ascending price sorting of the product grid.,Manual,High,Regression,UI,Positive,1,Navigate to the home page.,The sort dropdown is displayed.
,,,,,,,,2,"Select ""Price (Low - High)"" from the sort dropdown.",Displayed products are ordered by ascending price.
TC-026,Toolshop - Product Discovery - Sorting - Name Z to A orders the grid alphabetically descending,Verify descending alphabetical sorting of the product grid.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,The sort dropdown is displayed.
,,,,,,,,2,"Select ""Name (Z - A)"" from the sort dropdown.",Displayed products are ordered by descending name.
TC-027,Toolshop - Product Discovery - Sorting - CO2 rating orders by sustainability,Verify that sorting by CO2 rating orders products from best to worst badge.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,The sort dropdown is displayed.
,,,,,,,,2,"Select ""CO₂ Rating (A - E)"" from the sort dropdown.",Products are ordered from best (A) to worst (E) CO2 badge.
TC-028,Toolshop - Product Discovery - Pagination - Page links navigate through the catalog,Verify that pagination shows different products per page and can navigate back.,Manual,High,Regression,UI,Positive,1,Navigate to the home page.,Page 1 of the grid is displayed with pagination controls.
,,,,,,,,2,Click page 2 (or the next arrow).,A different set of products is displayed and page 2 is marked active.
,,,,,,,,3,Click the previous arrow.,Page 1 products are displayed again.
TC-029,Toolshop - Product Discovery - Search - Sorting applies within search results,Verify that sorting re-orders the search result set without losing the search term.,Manual,Medium,Regression,UI,Positive,1,"Search for ""saw"" from the home page.",Search results are displayed.
,,,,,,,,2,"Select ""Price (High - Low)"" from the sort dropdown.",The results remain filtered by the term and are re-ordered by descending price.
TC-030,Toolshop - Product Discovery - Listing - Out-of-stock products are labeled on the grid,Verify that sold-out products are clearly marked in the listing.,Manual,High,Regression,UI,Positive,1,Navigate to the home page.,Product grid is displayed.
,,,,,,,,2,Locate a product marked as out of stock (e.g. Long Nose Pliers).,"The card displays an ""Out of stock"" label."
TC-031,Toolshop - Product Discovery - Localization - Language switch changes the UI language,Verify that switching the language updates the UI texts and can be switched back.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,The language selector shows EN.
,,,,,,,,2,"Open the language selector and choose ""TR"".","The UI texts (navigation, sidebar headings) change to Turkish."
,,,,,,,,3,"Switch back to ""EN"".",The UI returns to English.
TC-032,Toolshop - Product Discovery - Compare - Two products can be compared side by side,Verify that products can be added to the comparison from the grid and viewed together.,Manual,Medium,Regression,UI,Positive,1,Navigate to the home page.,Product cards display a compare icon.
,,,,,,,,2,Click the compare icon on two different products.,Both products are added to the comparison.
,,,,,,,,3,Open the comparison view.,The two products are displayed side by side with their details.
TC-033,Toolshop - Product Discovery - Navigation - Category menu opens a pre-filtered listing,Verify that the Categories navigation menu opens a listing limited to the chosen category group.,Manual,Low,Regression,UI,Positive,1,"From the top navigation, open Categories and click ""Hand Tools"".",A listing page opens showing only Hand Tools products.
